Tipo de Relatório: Medidas Consolidadas
Tipo de Agente: Conectante | Nome: BEFITEX
Periodo Solicitado de 01/01/2020 até 31/01/2020;;;;;;;;;;;
Ponto de Medição;Data de Consolidação;Hora de Consolidação;Tipo de Energia;Ativa Geração (kWh);Ativa Consumo (kWh);Reativa Geração (kVArh);Reativa Consumo (kVArh);Qt Intervalos Faltantes;Situação da Medida;Motivo da Situação;
SPBFNOENTR101;01/01/2020;1;Liquida;0;246,35;0;52,9;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;01/01/2020;2;Liquida;0;208,07;0;44,58;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;01/01/2020;3;Liquida;0;238,24;0;51,39;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;01/01/2020;4;Liquida;0;262,68;0;52,4;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;01/01/2020;5;Liquida;0;266,55;0;52,6;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;01/01/2020;6;Liquida;0;264,2;0;52,26;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;01/01/2020;7;Liquida;0;251,5;0;55,34;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;01/01/2020;8;Liquida;0;222,15;0;58,75;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;01/01/2020;9;Liquida;0;192,7;0;59,15;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;01/01/2020;10;Liquida;0;164,35;0;60,25;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;01/01/2020;11;Liquida;0;147,67;0;51,83;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;01/01/2020;12;Liquida;0;136,55;0;51,59;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;01/01/2020;13;Liquida;0;132,07;0;47,65;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;01/01/2020;14;Liquida;0;137,1;0;54,06;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;01/01/2020;15;Liquida;0;157,69;0;52,75;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;01/01/2020;16;Liquida;0;184,15;0;51,31;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;01/01/2020;17;Liquida;0;188,26;0;47,84;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;01/01/2020;18;Liquida;0;229,97;0;49,7;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;01/01/2020;19;Liquida;0;256,43;0;45,2;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;01/01/2020;20;Liquida;0;251,29;0;46,16;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;01/01/2020;21;Liquida;0;254,37;0;47,32;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;01/01/2020;22;Liquida;0;257,82;0;46,58;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;01/01/2020;23;Liquida;0;253,09;0;45,15;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;01/01/2020;24;Liquida;0;255,16;0;43,36;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;02/01/2020;1;Liquida;0;255,7;0;46,91;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;02/01/2020;2;Liquida;0;257,45;0;47,75;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;02/01/2020;3;Liquida;0;256,32;0;45,99;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;02/01/2020;4;Liquida;0;254,34;0;47,67;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;02/01/2020;5;Liquida;0;259,51;0;45,93;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;02/01/2020;6;Liquida;0;249,71;0;45,97;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;02/01/2020;7;Liquida;0;241,68;0;47,11;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;02/01/2020;8;Liquida;0;223,07;0;51,82;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;02/01/2020;9;Liquida;0;197,4;0;61,9;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;02/01/2020;10;Liquida;0;164,31;0;57,68;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;02/01/2020;11;Liquida;0;140,72;0;58,74;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;02/01/2020;12;Liquida;0;132,83;0;58,89;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;02/01/2020;13;Liquida;0;130,93;0;56,03;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;02/01/2020;14;Liquida;0;138,39;0;54,58;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;02/01/2020;15;Liquida;0;153,67;0;56,24;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;02/01/2020;16;Liquida;0;160,38;0;51,35;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;02/01/2020;17;Liquida;0;211,27;0;54,8;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;02/01/2020;18;Liquida;0;247,8;0;49,6;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;02/01/2020;19;Liquida;0;253,36;0;48,61;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;02/01/2020;20;Liquida;0;249,81;0;49,67;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;02/01/2020;21;Liquida;0;254,8;0;49,67;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;02/01/2020;22;Liquida;0;254,93;0;51,6;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;02/01/2020;23;Liquida;0;247,39;0;51,59;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;02/01/2020;24;Liquida;0;251,19;0;53,58;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;03/01/2020;1;Liquida;0;252,82;0;52,39;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;03/01/2020;2;Liquida;0;256,92;0;55,33;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;03/01/2020;3;Liquida;0;251,84;0;52,19;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;03/01/2020;4;Liquida;0;248,2;0;51,66;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;03/01/2020;5;Liquida;0;256,75;0;54,77;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;03/01/2020;6;Liquida;0;251,7;0;52,06;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;03/01/2020;7;Liquida;0;240,45;0;53,97;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;03/01/2020;8;Liquida;0;224,95;0;57,03;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;03/01/2020;9;Liquida;0;185,59;0;59,99;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;03/01/2020;10;Liquida;0;160,25;0;59,27;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;03/01/2020;11;Liquida;0;138,04;0;58,24;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;03/01/2020;12;Liquida;0;129,05;0;58,26;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;03/01/2020;13;Liquida;0;129,04;0;57,72;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;03/01/2020;14;Liquida;0;130,23;0;59,43;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;03/01/2020;15;Liquida;0;142,82;0;57,66;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;03/01/2020;16;Liquida;0;169,83;0;56,36;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;03/01/2020;17;Liquida;0;208,11;0;55,04;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;03/01/2020;18;Liquida;0;237,48;0;54,51;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;03/01/2020;19;Liquida;0;253,61;0;52,27;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;03/01/2020;20;Liquida;0;251,7;0;54,8;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;03/01/2020;21;Liquida;0;255,75;0;53,48;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;03/01/2020;22;Liquida;0;249,81;0;53,01;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;03/01/2020;23;Liquida;0;251,3;0;50,65;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;03/01/2020;24;Liquida;0;249,1;0;51,38;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;04/01/2020;1;Liquida;0;255,87;0;54,52;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;04/01/2020;2;Liquida;0;249,74;0;52,95;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;04/01/2020;3;Liquida;0;252,35;0;55,03;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;04/01/2020;4;Liquida;0;258,64;0;54,28;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;04/01/2020;5;Liquida;0;258,54;0;53,92;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;04/01/2020;6;Liquida;0;260,09;0;54,03;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;04/01/2020;7;Liquida;0;247,81;0;54,95;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;04/01/2020;8;Liquida;0;219,21;0;54,45;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;04/01/2020;9;Liquida;0;183,67;0;55,36;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;04/01/2020;10;Liquida;0;157,18;0;58,85;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;04/01/2020;11;Liquida;0;138,76;0;56,15;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;04/01/2020;12;Liquida;0;131,87;0;57,65;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;04/01/2020;13;Liquida;0;129;0;56,71;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;04/01/2020;14;Liquida;0;133,77;0;56,19;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;04/01/2020;15;Liquida;0;151,35;0;55,26;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;04/01/2020;16;Liquida;0;178,64;0;56,81;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;04/01/2020;17;Liquida;0;201,03;0;55,43;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;04/01/2020;18;Liquida;0;238,53;0;56,55;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;04/01/2020;19;Liquida;0;251,16;0;51,8;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;04/01/2020;20;Liquida;0;251,42;0;53,2;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;04/01/2020;21;Liquida;0;253,85;0;55,41;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;04/01/2020;22;Liquida;0;252,12;0;55,21;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;04/01/2020;23;Liquida;0;250,55;0;52,82;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;04/01/2020;24;Liquida;0;251,43;0;52,16;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;05/01/2020;1;Liquida;0;249,83;0;53,34;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;05/01/2020;2;Liquida;0;259,43;0;55,39;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;05/01/2020;3;Liquida;0;260,59;0;57,17;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;05/01/2020;4;Liquida;0;256,38;0;55,78;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;05/01/2020;5;Liquida;0;264,57;0;56,11;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;05/01/2020;6;Liquida;0;253,7;0;56,08;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;05/01/2020;7;Liquida;0;245,64;0;55,56;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;05/01/2020;8;Liquida;0;214,02;0;55,62;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;05/01/2020;9;Liquida;0;179,97;0;56,28;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;05/01/2020;10;Liquida;0;154,23;0;57,11;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;05/01/2020;11;Liquida;0;136,53;0;55,82;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;05/01/2020;12;Liquida;0;128,08;0;55,89;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;05/01/2020;13;Liquida;0;118,54;0;56,7;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;05/01/2020;14;Liquida;0;131,87;0;57,19;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;05/01/2020;15;Liquida;0;140,96;0;54,77;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;05/01/2020;16;Liquida;0;170,64;0;55,61;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;05/01/2020;17;Liquida;0;202,49;0;52,51;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;05/01/2020;18;Liquida;0;235,79;0;56,51;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;05/01/2020;19;Liquida;0;255,46;0;52,04;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;05/01/2020;20;Liquida;0;254,97;0;54,49;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;05/01/2020;21;Liquida;0;248,73;0;52,73;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;05/01/2020;22;Liquida;0;253,91;0;55,86;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;05/01/2020;23;Liquida;0;251,22;0;52,29;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;05/01/2020;24;Liquida;0;249,06;0;53,98;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;06/01/2020;1;Liquida;0;249,46;0;51,83;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;06/01/2020;2;Liquida;0;253,07;0;53,48;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;06/01/2020;3;Liquida;0;253,77;0;55,61;0;Hora Completa Consistente;Consistido;
SPBFNOENTR101;06/01/2020;4;Liquida;0;249,85;0;55,08;0;Hora Completa Consistente;Consistido;
